Organisation/Agency,Links to the dataset/collection of datasets,
Google Public Directory,https://www.google.com/publicdata/directory,
NASDAQ,https://data.nasdaq.com/,
World Data Bank,http://databank.worldbank.org/data/home.aspx,
UN Comtrade,http://comtrade.un.org/,
UN Data,http://data.un.org/,
FOIA America,https://foiaonline.regulations.gov/foia/action/public/home,
RTI India,http://rti.gov.in/,
World Bank,http://databank.worldbank.org/data/reports.aspx?source=2&series=SP.POP.TOTL&country=,
NYC Open Data,https://nycopendata.socrata.com/,
US Census,http://www.census.gov/data.html,
Bureau of Labour Statistics,http://data.bls.gov/cgi-bin/surveymost?bls,
Data.Gov -  USA,http://www.data.gov/,
Way Back Time Internet Archieve,http://archieve.org/web,
Google Trends Analysis,https://trends.google.com/trends/,
Google News Alert,https://groups.google.com/forum/#!forum/google-newslab-updates,
Global forest watchers,http://www.globalforestwatch.org/map,
Federal Election Commision USA,https://www.fec.gov/,
India's open source data platform,https://data.gov.in/,
united states census bureau,https://www.census.gov/,
India census bureau data,http://censusindia.gov.in/,
Google Books ngram viewer,https://books.google.com/ngrams,
Google Fusion Tables,https://sites.google.com/site/fusiontablestalks/stories,
Data.Gov -  UK,https://data.gov.uk/data/search?res_format=RSS,
Eurostat,http://ec.europa.eu/eurostat/web/main/home,
Website change tracker,https://visualping.io/cdlp.html?utm_source=cd&utm_medium=redirtocdlp&utm_campaign=mig1,
Open Spending for Europe,https://openspending.org/,
Investigative Dashboard,https://investigativedashboard.org/,
Wikipedia list of statistical sources,https://www.wikiwand.com/en/List_of_national_and_international_statistical_services,
Open Corporates,https://opencorporates.com/,
Open Spending ,https://openspending.org/,
Opencity,http://opencity.in/,
Our world in data,ourworldindata.org,
,,
,,
Resources,Links ,
Google Data studio  ,https://www.google.com/analytics/data-studio/,
Googlescrapper ,https://tools.digitalmethods.net/beta/scrapeGoogle/,
Everlaw,https://www.everlaw.com/,
R for Data Science,http://r4ds.had.co.nz/,
Ethical jounalists toolkit,https://thomsonfoundation.edcastcloud.com/learn/the-ethical-journalist-s-toolkit-self-paced-available-until-april-2018,
data journalism tool,https://datajournalism.tools/,
Raw graphs,https://rawgraphs.io/,
webhose.io,http://datadrivenjournalism.net/resources/webhose.io,
datawrapper - riiver,https://river.datawrapper.de/,
CSV Lint,http://csvlint.io/,
the ODI,https://theodi.org/,
SVG pattern for Data viz,http://riccardoscalco.github.io/textures/,
lumen ,https://www.lumendatabase.org,
scrappin hub,https://scrapinghub.com/platform,
portia github,https://github.com/scrapinghub/portia/,
portia webpaage,https://scrapinghub.com/portia,
,,
,,
,,
Guardian API ,https://open-platform.theguardian.com/documentation/,
Webhose,https://webhose.io/plans-and-pricing,
Media API,https://www.programmableweb.com/category/media/apis?category=20020,
News service API,https://www.programmableweb.com/category/news-services/apis?search_id=140527&category=20250,
newspaper archive,https://elephind.com/,
"newspaper archive, indexes and morgue US",http://www.loc.gov/rr/news/oltitles.html,
archives library information center US,https://www.archives.gov/research/alic/tools/online-databases.html,
,,
,,
,,
,,
,,
,,
,,
News headlines of 17 years TOI,https://www.kaggle.com/therohk/india-headlines-news-dataset,
The Examiner dataset,https://www.kaggle.com/therohk/examine-the-examiner,
ABC news headlines,https://www.kaggle.com/therohk/million-headlines,
"143,000 articles from 15 American publications",https://www.kaggle.com/snapcrack/all-the-news/home,
,,
Google News Archives,https://news.google.com/newspapers#T,
Reuters Corpora,https://trec.nist.gov/data/reuters/reuters.html,
ML India datasets,http://ml-india.org/datasets/,expand on them
newspaper and magazine subscriptions,https://data.gov.in/keywords/newspapers,
Indian government dataset,https://www.analyticsindiamag.com/top-10-indian-government-datasets-that-you-can-use-for-analytics-projects/,
Linguistic Data consortium,https://catalog.ldc.upenn.edu/,
Event Registery ,https://github.com/EventRegistry/event-registry-python,